% Households: High GRAPI,% Vacancy,% Renter-Occupied,% With Mortgage,% Households: High Mortgage,% Households: Multiunit,% Households: $500k+ Value,Geography Level,Region
0.4997281463124426,0.16784633248813827,0.31958381048693535,0.5799831776499839,0.24976578231346375,0.16531622669492202,0.029292340346946857,State,South
0.4323577333896566,0.19973521308190503,0.3654573908095035,0.6349939464598,0.24697872499392942,0.2384773776336377,0.06997764353936722,State,West
0.49621633837662954,0.16994778310714542,0.3793629564034457,0.6460006536776751,0.2948463342216049,0.20796346511619063,0.0662174142685622,State,West
0.48320471679646954,0.15331743593098693,0.3427589863744439,0.557084110937084,0.23461147100938806,0.16136540186813278,0.021258481567919436,State,South
0.5709315502948246,0.08270961714743727,0.462109045964015,0.7261491755844799,0.38336096477280396,0.3127411400058965,0.3409428479600461,State,West
0.5191985648608628,0.1087936542263552,0.35493059716397046,0.7234092782587495,0.2796079906527602,0.2568528063343822,0.11937582482226411,State,West
0.5292211959441151,0.09960001935390222,0.3368874360007762,0.6921825864005636,0.3238395675078902,0.3472157261207791,0.16184756403647585,State,Northeast
0.5105090069073819,0.1770420979818696,0.28319732445417034,0.6791567063160623,0.28472175265399957,0.17425821875417158,0.06573625677338128,State,South
0.49457857452652887,0.10338806832246886,0.5931802202090182,0.7625437731307629,0.26566872473681874,0.6306923013449954,0.4618008741053089,State,South
0.5782046326534178,0.2029613704638597,0.3520865873572297,0.5919853730843693,0.36071340207716684,0.3048904986785438,0.06909004678883728,State,South
0.5267355436236917,0.13702549923822954,0.37344264744647887,0.6757755322341799,0.28773941623201105,0.20979002774099903,0.049950570942733835,State,South
0.5559880937836668,0.14475446746658308,0.437929885363903,0.6780422057004177,0.39794191898974696,0.3802452950285481,0.5000256918011534,State,West
0.4765592400775631,0.1297013274336283,0.30640334823590587,0.6650595089349151,0.27905227141561545,0.14347995835502342,0.04740870315110712,State,West
0.49518224101143066,0.09570230788295565,0.34063361765564854,0.6563808743552291,0.30358142980981484,0.33094571609895773,0.06971436832975748,State,Midwest
0.4970453722942695,0.11077753733574408,0.31475207082947254,0.668661581056296,0.22058307745248557,0.18629539727509575,0.0215055898879686,State,Midwest
0.4314696143269814,0.0840229785411605,0.2918980528373438,0.6116715141849887,0.19685037982579642,0.18694108729430123,0.021048434818966323,State,Midwest
0.4512999971079041,0.10165395582191643,0.33939315578565343,0.6045557040083617,0.2093003964675254,0.1784554206274627,0.025583870323226916,State,Midwest
0.46105829470315063,0.11928480032881794,0.3261652780245107,0.5889169830889543,0.24148339139106703,0.17928271423511102,0.025933866291716408,State,South
0.52345982269455,0.13200520149254105,0.3403045686454119,0.5399095830716494,0.2570077224825076,0.185672087985386,0.0309547283808107,State,South
